Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
2:36.38, -0.986, -0.086, 0.061, -0.688, 7.992, 4.393, -0.745, 0.171, 0.953, 
2:36.38, -0.986, -0.093, 0.054, -0.688, 7.992, 4.393, -0.748, 0.171, 0.953, 
2:36.40, -0.986, -0.093, 0.054, -0.079, 7.992, 4.393, -0.748, 0.171, 0.953, 
2:36.41, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.748, 0.171, 0.953, 
2:36.41, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.748, 0.171, 0.953, 
2:36.43, -0.986, -0.093, 0.054, -0.079, 7.992, 3.296, -0.748, 0.171, 0.953, 
2:36.44, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.748, 0.168, 0.953, 
2:36.44, -0.986, -0.093, 0.054, -0.079, 7.992, 3.296, -0.748, 0.168, 0.953, 
2:36.46, -0.986, -0.086, 0.054, -0.688, 7.992, 3.296, -0.748, 0.168, 0.953, 
2:36.47, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.745, 0.168, 0.953, 
2:36.47, -0.986, -0.093, 0.054, -0.079, 7.992, 3.296, -0.745, 0.168, 0.953, 
2:36.49, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.745, 0.168, 0.953, 
2:36.50, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.745, 0.168, 0.953, 
2:36.51, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.748, 0.168, 0.953, 
2:36.52, -0.986, -0.093, 0.054, -0.079, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:36.53, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.745, 0.168, 0.953, 
2:36.54, -0.986, -0.086, 0.047, -0.688, 8.340, 2.931, -0.748, 0.168, 0.950, 
2:36.55, -0.993, -0.093, 0.054, -0.079, 8.340, 2.931, -0.745, 0.168, 0.950, 
2:36.56, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.950, 
2:36.57, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.950, 
2:36.58, -0.986, -0.093, 0.054, -0.079, 8.340, 3.296, -0.748, 0.168, 0.950, 
2:36.59, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.745, 0.168, 0.950, 
2:36.60, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.950, 
2:36.61, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.745, 0.168, 0.950, 
2:36.62, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.950, 
2:36.63, -0.986, -0.086, 0.047, -0.079, 8.340, 3.296, -0.745, 0.165, 0.950, 
2:36.63, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.65, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.66, -0.986, -0.086, 0.047, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.66, -0.986, -0.093, 0.047, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.68, -0.986, -0.093, 0.047, -0.079, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.69, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.69, -0.986, -0.093, 0.047, -0.688, 8.340, 3.296, -0.745, 0.165, 0.946, 
2:36.71, -0.979, -0.086, 0.047, -0.688, 8.340, 3.296, -0.745, 0.165, 0.946, 
2:36.72, -0.993, -0.093, 0.047, -0.688, 8.340, 3.296, -0.748, 0.165, 0.946, 
2:36.72, -0.993, -0.093, 0.047, -0.079, 8.340, 3.296, -0.748, 0.165, 0.946, 
2:36.74, -0.986, -0.093, 0.047, -0.688, 8.340, 3.296, -0.748, 0.165, 0.946, 
2:36.75, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.946, 
2:36.76, -0.986, -0.093, 0.061, -0.688, 8.340, 3.296, -0.748, 0.165, 0.946, 
2:36.77, -0.986, -0.093, 0.054, -1.296, 8.340, 3.296, -0.748, 0.165, 0.946, 
2:36.78, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.79, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.80, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.81, -0.986, -0.093, 0.054, -0.079, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.82, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.83, -0.986, -0.093, 0.054, -0.079, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.84, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.950, 
2:36.85, -0.986, -0.093, 0.061, -0.688, 7.992, 3.296, -0.748, 0.165, 0.950, 
2:36.86, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.748, 0.165, 0.950, 
2:36.87, -0.986, -0.086, 0.054, -0.688, 7.992, 3.296, -0.748, 0.165, 0.950, 
2:36.88, -0.986, -0.093, 0.054, -0.688, 7.992, 3.296, -0.748, 0.165, 0.950, 
2:36.88, -0.986, -0.086, 0.054, -0.688, 7.992, 3.296, -0.748, 0.165, 0.950, 
2:36.90, -0.979, -0.086, 0.054, -0.688, 7.992, 3.662, -0.748, 0.165, 0.950, 
2:36.91, -0.986, -0.093, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.91, -0.986, -0.086, 0.054, -0.079, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.93, -0.986, -0.093, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.94, -0.986, -0.093, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.94, -0.986, -0.086, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.96, -0.986, -0.093, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.97, -0.993, -0.086, 0.054, -0.688, 7.992, 4.393, -0.745, 0.165, 0.950, 
2:36.97, -0.986, -0.086, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:36.99, -0.993, -0.086, 0.054, -0.688, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:37.00, -0.986, -0.086, 0.054, -1.296, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:37.01, -0.986, -0.093, 0.054, -1.905, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:37.02, -0.986, -0.093, 0.054, -1.296, 7.992, 4.393, -0.748, 0.165, 0.950, 
2:37.03, -0.986, -0.093, 0.054, -2.513, 7.992, 4.027, -0.748, 0.165, 0.950, 
2:37.04, -0.986, -0.093, 0.054, -2.513, 7.992, 3.296, -0.745, 0.165, 0.950, 
2:37.05, -0.986, -0.093, 0.061, -2.513, 7.992, 2.931, -0.745, 0.165, 0.946, 
2:37.06, -0.986, -0.086, 0.054, -2.513, 7.992, 2.931, -0.748, 0.165, 0.946, 
2:37.07, -0.986, -0.093, 0.054, -2.513, 7.992, 2.931, -0.748, 0.165, 0.946, 
2:37.08, -0.986, -0.093, 0.054, -2.513, 7.992, 2.931, -0.748, 0.165, 0.946, 
2:37.09, -0.986, -0.086, 0.054, -3.122, 7.992, 2.931, -0.748, 0.165, 0.946, 
2:37.10, -0.979, -0.093, 0.054, -2.513, 7.992, 3.296, -0.748, 0.165, 0.946, 
2:37.11, -0.979, -0.093, 0.054, -2.513, 7.992, 3.296, -0.745, 0.165, 0.946, 
2:37.12, -0.979, -0.093, 0.054, -1.905, 7.992, 3.296, -0.748, 0.165, 0.946, 
2:37.13, -0.979, -0.093, 0.054, -2.513, 7.992, 4.027, -0.745, 0.165, 0.946, 
2:37.13, -0.986, -0.093, 0.054, -1.905, 7.992, 4.758, -0.748, 0.165, 0.946, 
2:37.15, -0.986, -0.086, 0.054, -1.905, 7.992, 4.393, -0.748, 0.165, 0.946, 
2:37.16, -0.986, -0.086, 0.054, -2.513, 8.340, 4.393, -0.745, 0.165, 0.946, 
2:37.16, -0.986, -0.086, 0.054, -2.513, 8.340, 4.393, -0.748, 0.165, 0.946, 
2:37.18, -0.986, -0.093, 0.054, -2.513, 8.340, 4.393, -0.748, 0.165, 0.946, 
2:37.19, -0.986, -0.093, 0.047, -1.296, 8.340, 2.931, -0.748, 0.165, 0.946, 
2:37.19, -0.993, -0.086, 0.047, -1.905, 8.340, 2.931, -0.748, 0.165, 0.946, 
2:37.21, -0.986, -0.093, 0.054, -2.513, 8.340, 2.931, -0.748, 0.165, 0.946, 
2:37.22, -0.986, -0.086, 0.054, -3.122, 8.340, 2.200, -0.748, 0.165, 0.946, 
2:37.22, -0.986, -0.093, 0.054, -2.513, 8.340, 1.469, -0.748, 0.165, 0.946, 
2:37.24, -0.986, -0.093, 0.054, -2.513, 8.340, 1.835, -0.748, 0.161, 0.946, 
2:37.25, -0.986, -0.093, 0.054, -1.905, 8.340, 1.835, -0.748, 0.161, 0.946, 
2:37.26, -0.986, -0.086, 0.054, -1.905, 8.340, 1.835, -0.748, 0.161, 0.946, 
2:37.27, -0.993, -0.093, 0.054, -1.296, 8.340, 1.835, -0.748, 0.161, 0.946, 
2:37.28, -0.993, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.161, 0.946, 
2:37.29, -0.993, -0.093, 0.054, -0.079, 8.340, 3.296, -0.748, 0.161, 0.946, 
2:37.30, -0.993, -0.086, 0.054, -0.079, 8.340, 3.296, -0.748, 0.161, 0.946, 
2:37.31, -0.993, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.161, 0.946, 
2:37.32, -0.993, -0.093, 0.047, -0.688, 8.340, 2.931, -0.748, 0.161, 0.946, 
2:37.33, -0.986, -0.086, 0.047, -0.688, 8.340, 2.931, -0.748, 0.161, 0.946, 
2:37.34, -0.993, -0.093, 0.041, -0.079, 8.340, 2.931, -0.748, 0.161, 0.946, 
2:37.35, -0.986, -0.086, 0.034, -0.688, 8.340, 2.200, -0.748, 0.161, 0.946, 
2:37.36, -0.986, -0.093, 0.034, -0.079, 8.340, 1.835, -0.748, 0.161, 0.946, 
2:37.37, -0.986, -0.093, 0.034, -0.688, 8.340, 1.469, -0.748, 0.161, 0.946, 
2:37.38, -0.986, -0.093, 0.034, -0.688, 7.992, 1.469, -0.748, 0.161, 0.946, 
2:37.38, -0.986, -0.093, 0.034, -0.688, 7.992, 1.835, -0.748, 0.161, 0.946, 
2:37.40, -0.979, -0.086, 0.034, -0.688, 7.992, 1.835, -0.748, 0.161, 0.946, 
2:37.41, -0.971, -0.093, 0.034, -0.079, 7.992, 1.835, -0.748, 0.161, 0.946, 
2:37.41, -0.979, -0.093, 0.034, -0.688, 7.992, 2.565, -0.748, 0.161, 0.946, 
2:37.43, -0.971, -0.086, 0.034, -0.688, 7.992, 3.296, -0.748, 0.161, 0.946, 
2:37.44, -0.971, -0.093, 0.034, -0.079, 7.992, 3.296, -0.748, 0.161, 0.946, 
2:37.44, -0.979, -0.093, 0.034, -0.688, 7.992, 3.296, -0.748, 0.161, 0.946, 
2:37.46, -0.986, -0.093, 0.034, -0.079, 7.992, 3.296, -0.748, 0.161, 0.946, 
2:37.47, -0.986, -0.093, 0.034, -0.688, 7.992, 3.296, -0.748, 0.161, 0.946, 
2:37.47, -0.986, -0.086, 0.034, -0.688, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:37.49, -0.986, -0.086, 0.034, -0.079, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:37.50, -0.986, -0.093, 0.034, -0.688, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:37.51, -0.986, -0.086, 0.034, -0.079, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:37.52, -0.986, -0.093, 0.034, -0.688, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:37.53, -0.986, -0.093, 0.034, -0.688, 7.992, 2.931, -0.748, 0.158, 0.946, 
2:37.54, -0.986, -0.093, 0.034, -0.079, 7.992, 3.296, -0.748, 0.158, 0.946, 
2:37.55, -0.979, -0.086, 0.034, -0.079, 7.992, 3.296, -0.748, 0.158, 0.946, 
2:37.56, -0.971, -0.086, 0.034, -0.079, 7.992, 3.296, -0.748, 0.158, 0.946, 
2:37.57, -0.964, -0.086, 0.034, -0.688, 7.992, 3.296, -0.748, 0.158, 0.946, 
2:37.58, -0.964, -0.086, 0.034, -0.079, 7.992, 4.027, -0.748, 0.158, 0.946, 
2:37.59, -0.964, -0.086, 0.034, -0.079, 7.992, 4.758, -0.748, 0.158, 0.946, 
2:37.60, -0.964, -0.086, 0.034, -0.688, 7.992, 4.758, -0.748, 0.158, 0.946, 
2:37.61, -0.964, -0.086, 0.034, -0.688, 7.992, 4.758, -0.745, 0.158, 0.946, 
2:37.62, -0.964, -0.086, 0.027, -0.079, 7.992, 4.758, -0.748, 0.158, 0.946, 
2:37.63, -0.964, -0.086, 0.027, -0.079, 7.992, 4.758, -0.748, 0.158, 0.946, 
2:37.63, -0.964, -0.086, 0.034, -0.079, 7.992, 4.758, -0.748, 0.158, 0.946, 
2:37.65, -0.957, -0.086, 0.034, -0.079, 7.992, 4.758, -0.745, 0.158, 0.946, 
2:37.66, -0.964, -0.093, 0.034, -0.079, 7.644, 4.758, -0.748, 0.158, 0.946, 
2:37.66, -0.957, -0.086, 0.034, -0.688, 7.644, 4.393, -0.745, 0.158, 0.946, 
2:37.68, -0.964, -0.093, 0.034, -0.079, 6.949, 4.758, -0.748, 0.158, 0.943, 
2:37.69, -0.964, -0.086, 0.034, -0.079, 7.297, 4.758, -0.748, 0.158, 0.943, 
2:37.69, -0.957, -0.093, 0.034, -0.688, 7.297, 4.758, -0.745, 0.158, 0.943, 
2:37.71, -0.964, -0.093, 0.034, -0.688, 7.297, 4.758, -0.748, 0.158, 0.943, 
2:37.72, -0.964, -0.093, 0.034, -0.688, 7.297, 5.124, -0.745, 0.158, 0.946, 
2:37.72, -0.964, -0.086, 0.034, -0.079, 7.297, 5.124, -0.748, 0.158, 0.943, 
2:37.74, -0.964, -0.086, 0.034, -0.079, 7.297, 5.124, -0.748, 0.158, 0.943, 
2:37.75, -0.971, -0.093, 0.041, -0.688, 7.297, 5.124, -0.745, 0.158, 0.943, 
2:37.76, -0.979, -0.086, 0.041, -0.079, 7.297, 5.124, -0.748, 0.158, 0.946, 
2:37.77, -0.979, -0.093, 0.041, -0.688, 7.297, 4.758, -0.748, 0.158, 0.946, 
2:37.78, -0.986, -0.093, 0.047, -0.079, 7.297, 4.393, -0.748, 0.158, 0.946, 
2:37.79, -0.986, -0.093, 0.047, -0.079, 7.297, 4.393, -0.748, 0.158, 0.946, 
2:37.80, -0.993, -0.093, 0.041, -0.688, 7.297, 4.393, -0.748, 0.158, 0.946, 
2:37.81, -0.986, -0.093, 0.041, -0.688, 7.297, 4.393, -0.745, 0.158, 0.946, 
2:37.82, -0.986, -0.093, 0.034, -0.079, 7.297, 4.393, -0.748, 0.158, 0.946, 
2:37.83, -0.986, -0.093, 0.034, -0.079, 7.297, 4.393, -0.745, 0.158, 0.946, 
2:37.84, -0.986, -0.086, 0.034, -0.079, 7.297, 4.027, -0.748, 0.158, 0.946, 
2:37.85, -0.993, -0.086, 0.034, -0.688, 7.644, 4.027, -0.748, 0.158, 0.946, 
2:37.86, -0.986, -0.093, 0.034, -0.688, 7.644, 4.027, -0.748, 0.158, 0.946, 
2:37.87, -0.986, -0.093, 0.041, -0.079, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.88, -0.986, -0.093, 0.034, -0.079, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.88, -0.986, -0.086, 0.027, -0.079, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.90, -0.993, -0.086, 0.034, -0.688, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.91, -0.986, -0.093, 0.034, -0.688, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.91, -0.986, -0.093, 0.034, -0.079, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.93, -0.986, -0.093, 0.034, -0.079, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.94, -0.986, -0.086, 0.027, -0.079, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.94, -0.993, -0.086, 0.034, -0.688, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.96, -0.986, -0.093, 0.034, -0.688, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.97, -0.986, -0.086, 0.034, -0.688, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.97, -0.986, -0.086, 0.034, -0.688, 7.992, 4.027, -0.748, 0.158, 0.950, 
2:37.99, -0.986, -0.093, 0.034, -0.079, 7.992, 4.027, -0.745, 0.158, 0.950, 
2:38.00, -0.986, -0.086, 0.034, -0.688, 7.992, 3.662, -0.748, 0.158, 0.950, 
2:38.01, -0.986, -0.086, 0.034, -0.688, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:38.02, -0.986, -0.086, 0.034, -0.079, 7.992, 2.931, -0.748, 0.161, 0.946, 
2:38.03, -0.993, -0.086, 0.034, -0.688, 7.992, 2.931, -0.745, 0.161, 0.946, 
2:38.04, -0.993, -0.093, 0.034, -0.079, 7.644, 3.296, -0.748, 0.161, 0.946, 
2:38.05, -0.986, -0.093, 0.034, -0.688, 7.297, 3.296, -0.748, 0.161, 0.946, 
2:38.06, -0.986, -0.086, 0.034, -0.688, 7.297, 3.296, -0.748, 0.161, 0.946, 
2:38.07, -0.993, -0.093, 0.034, -0.079, 7.297, 3.296, -0.745, 0.161, 0.946, 
2:38.08, -0.986, -0.086, 0.034, -0.688, 7.297, 3.296, -0.748, 0.161, 0.946, 
2:38.09, -0.993, -0.086, 0.027, -0.079, 7.297, 3.296, -0.745, 0.161, 0.946, 
2:38.10, -0.993, -0.093, 0.034, -0.688, 7.297, 3.296, -0.748, 0.161, 0.946, 
2:38.11, -0.993, -0.086, 0.034, -0.688, 7.297, 3.296, -0.745, 0.161, 0.946, 
2:38.12, -0.993, -0.086, 0.034, -0.079, 7.297, 2.931, -0.748, 0.161, 0.946, 
2:38.13, -0.993, -0.093, 0.034, -0.688, 7.297, 2.931, -0.748, 0.161, 0.946, 
2:38.13, -0.986, -0.086, 0.034, -0.688, 7.297, 1.835, -0.745, 0.161, 0.946, 
2:38.15, -0.986, -0.093, 0.034, -0.688, 7.297, 1.469, -0.745, 0.161, 0.946, 
2:38.16, -0.986, -0.093, 0.027, -0.079, 7.297, 1.469, -0.745, 0.161, 0.946, 
2:38.16, -0.986, -0.086, 0.034, -0.079, 7.297, 1.469, -0.748, 0.161, 0.946, 
2:38.18, -0.986, -0.086, 0.034, -0.688, 7.297, 1.835, -0.748, 0.161, 0.946, 
2:38.19, -0.986, -0.093, 0.034, -0.688, 7.297, 1.835, -0.745, 0.161, 0.946, 
2:38.19, -0.993, -0.093, 0.034, -0.688, 7.297, 1.835, -0.745, 0.158, 0.946, 
2:38.21, -0.986, -0.086, 0.034, -0.079, 7.297, 1.835, -0.748, 0.161, 0.946, 
2:38.22, -0.986, -0.086, 0.034, -0.688, 7.297, 1.835, -0.748, 0.161, 0.946, 
2:38.22, -0.993, -0.093, 0.034, -0.688, 7.297, 1.835, -0.745, 0.161, 0.946, 
2:38.24, -0.993, -0.086, 0.034, -0.688, 7.297, 1.835, -0.745, 0.158, 0.950, 
2:38.25, -0.986, -0.086, 0.034, -0.688, 7.297, 1.835, -0.745, 0.158, 0.950, 
2:38.26, -0.986, -0.093, 0.034, -0.079, 7.297, 1.835, -0.748, 0.161, 0.950, 
2:38.27, -0.986, -0.093, 0.027, -0.079, 7.297, 1.835, -0.748, 0.161, 0.950, 
2:38.28, -0.986, -0.086, 0.034, -0.688, 7.297, 1.835, -0.748, 0.161, 0.950, 
2:38.29, -0.986, -0.093, 0.027, -0.079, 7.297, 1.835, -0.748, 0.158, 0.950, 
2:38.30, -0.979, -0.093, 0.034, -0.688, 7.297, 1.835, -0.748, 0.161, 0.950, 
2:38.31, -0.971, -0.093, 0.034, -0.079, 7.297, 1.835, -0.748, 0.158, 0.950, 
2:38.32, -0.971, -0.093, 0.034, -0.688, 7.297, 1.835, -0.748, 0.158, 0.950, 
2:38.33, -0.964, -0.093, 0.027, -0.688, 7.297, 2.200, -0.748, 0.158, 0.950, 
2:38.34, -0.964, -0.093, 0.034, -0.688, 7.297, 3.296, -0.748, 0.158, 0.950, 
2:38.35, -0.964, -0.086, 0.034, -0.688, 7.297, 3.296, -0.748, 0.161, 0.950, 
2:38.36, -0.964, -0.093, 0.034, -0.688, 7.297, 3.296, -0.748, 0.158, 0.950, 
2:38.37, -0.964, -0.093, 0.034, -1.296, 7.297, 4.027, -0.748, 0.158, 0.950, 
2:38.38, -0.964, -0.093, 0.034, -1.296, 7.297, 4.393, -0.748, 0.158, 0.950, 
2:38.38, -0.964, -0.086, 0.034, -1.296, 7.297, 4.758, -0.748, 0.161, 0.950, 
2:38.40, -0.964, -0.086, 0.027, -0.688, 7.297, 4.758, -0.748, 0.161, 0.950, 
2:38.41, -0.964, -0.086, 0.034, -0.688, 7.297, 4.758, -0.748, 0.158, 0.950, 
2:38.41, -0.964, -0.086, 0.034, -0.688, 7.297, 4.758, -0.748, 0.158, 0.953, 
2:38.43, -0.964, -0.093, 0.034, -0.688, 7.297, 4.758, -0.748, 0.158, 0.953, 
2:38.44, -0.964, -0.086, 0.034, -0.688, 7.297, 4.393, -0.748, 0.158, 0.953, 
2:38.44, -0.964, -0.093, 0.034, -0.688, 7.297, 4.758, -0.748, 0.161, 0.953, 
2:38.46, -0.964, -0.093, 0.041, -1.296, 7.297, 4.758, -0.748, 0.158, 0.953, 
2:38.47, -0.957, -0.086, 0.047, -0.688, 7.297, 4.758, -0.748, 0.158, 0.953, 
2:38.47, -0.964, -0.093, 0.041, -0.688, 7.297, 4.758, -0.748, 0.161, 0.953, 
2:38.49, -0.964, -0.086, 0.047, -0.688, 7.297, 5.489, -0.745, 0.161, 0.953, 
2:38.50, -0.964, -0.086, 0.047, -0.688, 7.297, 6.220, -0.748, 0.158, 0.953, 
2:38.51, -0.964, -0.086, 0.054, -0.688, 7.297, 6.220, -0.745, 0.161, 0.953, 
2:38.52, -0.964, -0.093, 0.054, -0.688, 7.297, 6.220, -0.745, 0.161, 0.953, 
2:38.53, -0.964, -0.086, 0.054, -1.296, 7.297, 6.220, -0.745, 0.158, 0.950, 
2:38.54, -0.971, -0.086, 0.054, -0.688, 7.297, 6.220, -0.745, 0.161, 0.953, 
2:38.55, -0.971, -0.093, 0.054, -0.079, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.56, -0.971, -0.093, 0.047, -0.688, 7.297, 5.854, -0.745, 0.161, 0.953, 
2:38.57, -0.979, -0.093, 0.047, -0.079, 7.297, 6.220, -0.745, 0.161, 0.953, 
2:38.58, -0.986, -0.093, 0.047, -0.688, 7.297, 5.854, -0.748, 0.161, 0.953, 
2:38.59, -0.986, -0.093, 0.047, -0.688, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.60, -0.986, -0.093, 0.054, -0.079, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.61, -0.986, -0.086, 0.047, -0.688, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.62, -0.986, -0.093, 0.047, -0.688, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.63, -0.993, -0.086, 0.054, -0.688, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.63, -0.993, -0.093, 0.054, -0.688, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.65, -0.986, -0.086, 0.054, -0.079, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.66, -0.986, -0.086, 0.054, -0.688, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.66, -0.986, -0.093, 0.054, -0.079, 7.297, 5.854, -0.745, 0.161, 0.950, 
2:38.68, -0.993, -0.086, 0.054, -0.688, 7.297, 5.489, -0.745, 0.161, 0.950, 
2:38.69, -0.986, -0.086, 0.061, -0.688, 7.297, 4.758, -0.745, 0.161, 0.950, 
2:38.69, -0.986, -0.086, 0.054, -0.079, 7.297, 4.758, -0.745, 0.161, 0.950, 
2:38.71, -0.986, -0.086, 0.054, -0.688, 7.297, 4.758, -0.745, 0.165, 0.950, 
2:38.72, -0.993, -0.093, 0.054, -0.688, 7.297, 4.758, -0.745, 0.165, 0.950, 
2:38.72, -0.993, -0.086, 0.054, -0.688, 7.297, 4.393, -0.745, 0.165, 0.950, 
2:38.74, -0.986, -0.093, 0.054, -0.079, 7.644, 4.393, -0.745, 0.165, 0.950, 
2:38.75, -0.993, -0.093, 0.054, -0.688, 8.340, 4.393, -0.745, 0.165, 0.950, 
2:38.76, -0.993, -0.093, 0.054, -0.688, 8.340, 4.393, -0.745, 0.165, 0.953, 
2:38.77, -0.986, -0.086, 0.054, -0.688, 8.340, 4.393, -0.748, 0.165, 0.953, 
2:38.78, -0.986, -0.093, 0.054, -0.688, 8.687, 4.393, -0.748, 0.165, 0.953, 
2:38.79, -0.993, -0.086, 0.054, -0.079, 8.340, 3.662, -0.748, 0.165, 0.953, 
2:38.80, -0.986, -0.086, 0.054, -0.688, 8.340, 3.296, -0.748, 0.165, 0.953, 
2:38.81, -0.986, -0.093, 0.054, -1.296, 8.340, 3.296, -0.748, 0.165, 0.953, 
2:38.82, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:38.83, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:38.84, -0.986, -0.093, 0.054, -0.688, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:38.85, -0.986, -0.086, 0.047, -0.688, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:38.86, -0.986, -0.093, 0.047, -0.688, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:38.87, -0.986, -0.093, 0.047, -0.688, 8.340, 3.296, -0.745, 0.168, 0.953, 
2:38.88, -0.986, -0.086, 0.047, -0.688, 8.340, 3.296, -0.748, 0.168, 0.953, 
2:38.88, -0.993, -0.086, 0.047, -0.079, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.90, -0.993, -0.093, 0.047, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.91, -0.986, -0.093, 0.047, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.91, -0.986, -0.093, 0.054, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.93, -0.993, -0.086, 0.054, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.94, -0.993, -0.086, 0.054, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.94, -0.986, -0.093, 0.054, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.96, -0.993, -0.093, 0.054, -0.688, 8.340, 2.931, -0.748, 0.168, 0.953, 
2:38.97, -0.993, -0.093, 0.054, -0.688, 6.949, 2.931, -0.748, 0.168, 0.953, 
2:38.97, -0.986, -0.093, 0.061, -0.079, 6.949, 2.931, -0.748, 0.168, 0.953, 
