Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
0:01.66, -0.021, 0.934, 0.108, -0.688, 8.340, 4.758, -0.161, 0.386, -1.041, 
0:01.67, -0.014, 0.934, 0.108, -0.079, 8.687, 4.393, -0.161, 0.386, -1.041, 
0:01.68, -0.014, 0.940, 0.108, -0.079, 8.340, 4.393, -0.161, 0.386, -1.041, 
0:01.69, -0.021, 0.940, 0.108, -1.296, 8.687, 4.393, -0.161, 0.386, -1.038, 
0:01.70, -0.021, 0.940, 0.108, -0.688, 8.687, 4.393, -0.161, 0.386, -1.038, 
0:01.71, -0.021, 0.940, 0.108, -0.688, 8.687, 4.027, -0.161, 0.386, -1.038, 
0:01.72, -0.014, 0.940, 0.108, -0.079, 8.687, 4.027, -0.161, 0.389, -1.038, 
0:01.73, -0.021, 0.940, 0.108, -0.688, 8.687, 4.027, -0.161, 0.389, -1.038, 
0:01.74, -0.014, 0.940, 0.108, -0.688, 8.687, 4.027, -0.161, 0.389, -1.038, 
0:01.75, -0.014, 0.940, 0.108, -0.688, 8.687, 4.027, -0.161, 0.389, -1.038, 
0:01.76, -0.014, 0.940, 0.108, -0.079, 8.687, 4.027, -0.161, 0.389, -1.038, 
0:01.77, -0.014, 0.940, 0.108, -0.079, 8.687, 3.662, -0.161, 0.389, -1.038, 
0:01.78, -0.021, 0.940, 0.108, -0.079, 8.687, 2.931, -0.161, 0.389, -1.035, 
0:01.79, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.161, 0.392, -1.035, 
0:01.80, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.161, 0.392, -1.035, 
0:01.81, -0.014, 0.940, 0.108, -0.079, 8.687, 3.296, -0.161, 0.392, -1.035, 
0:01.82, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.164, 0.392, -1.035, 
0:01.83, -0.021, 0.940, 0.108, -0.688, 8.687, 3.296, -0.164, 0.392, -1.035, 
0:01.84, -0.014, 0.940, 0.108, -0.688, 8.687, 3.662, -0.164, 0.392, -1.035, 
0:01.85, -0.014, 0.940, 0.108, -0.688, 8.687, 3.662, -0.164, 0.392, -1.035, 
0:01.86, -0.021, 0.940, 0.108, -0.079, 8.687, 3.662, -0.164, 0.392, -1.035, 
0:01.87, -0.014, 0.940, 0.108, -0.688, 8.687, 3.662, -0.164, 0.392, -1.035, 
0:01.88, -0.014, 0.940, 0.108, -0.688, 8.687, 3.662, -0.164, 0.392, -1.035, 
0:01.89, -0.014, 0.940, 0.108, -0.688, 8.687, 4.027, -0.164, 0.392, -1.032, 
0:01.90, -0.014, 0.940, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.91, -0.014, 0.940, 0.108, -0.079, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.92, -0.014, 0.940, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.93, -0.014, 0.934, 0.108, -0.688, 8.340, 4.758, -0.164, 0.396, -1.032, 
0:01.94, -0.014, 0.934, 0.108, -0.079, 8.340, 4.758, -0.164, 0.396, -1.032, 
0:01.95, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.96, -0.021, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.97, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.98, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:01.99, -0.014, 0.934, 0.108, -0.079, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:02.00, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:02.00, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:02.02, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.396, -1.032, 
0:02.02, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.399, -1.032, 
